x(1,15) = 4 
x(2,14) = 7 
x(3,7) = 11 
x(4,18) = 11 
x(5,8) = 11 
x(6,1) = 11 
x(7,6) = 11 
x(8,5) = 11 
x(9,16) = 11 
x(10,20) = 10 
x(11,8) = 11 
x(12,2) = 6 
x(13,8) = 10 
x(14,9) = 11 
x(15,18) = 11 
x(16,10) = 10 
x(17,5) = 11 
x(18,15) = 11 
x(19,16) = 8 
x(20,16) = 9 
x(21,13) = 9 
x(22,6) = 11 
x(23,19) = 11 
x(24,6) = 6 
x(25,5) = 11 
x(26,2) = 11 
x(27,20) = 10 
x(28,3) = 11 
x(29,18) = 11 
x(30,19) = 11 
x(31,18) = 0 
x(32,11) = 11 
x(33,4) = 11 
x(34,2) = 11 
x(35,13) = 11 
x(36,9) = 10 
x(37,11) = 10 
x(38,10) = 11 
x(39,18) = 4 
x(40,19) = 11 
x(41,18) = 8 
x(42,17) = 2 
x(43,19) = 11 
x(44,1) = 11 
x(45,5) = 11 
x(46,7) = 9 
x(47,1) = 11 
x(48,8) = 11 
x(49,1) = 11 
x(50,9) = 10 
x(51,3) = 9 
x(52,19) = 11 
x(53,17) = 11 
x(54,20) = 9 
x(55,17) = 11 
x(56,10) = 11 
x(57,19) = 10 
x(58,17) = 11 
x(59,9) = 8 
x(60,11) = 11 
x(61,4) = 9 
x(62,2) = 11 
x(63,1) = 10 
x(64,9) = 11 
x(65,12) = 9 
x(66,3) = 7 
x(67,19) = 7 
x(68,18) = 11 
x(69,13) = 10 
x(70,9) = 11 
x(71,5) = 11 
x(72,3) = 6 
x(73,2) = 7 
x(74,1) = 1 
x(75,15) = 1 
x(76,5) = 11 
x(77,7) = 11 
x(78,8) = 11 
x(79,3) = 1 
x(80,4) = 11 
x(81,8) = 11 
x(82,4) = 11 
x(83,4) = 11 
x(84,16) = 11 
x(85,15) = 11 
x(86,2) = 10 
x(87,15) = 9 
x(88,4) = 10 
x(89,6) = 7 
x(90,9) = 11 
x(91,3) = 8 
x(92,4) = 11 
x(93,14) = 4 
x(94,2) = 9 
x(95,6) = 11 
x(96,1) = 11 
x(97,20) = 11 
x(98,2) = 4 
x(99,9) = 11 
x(100,10) = 6 
x(101,6) = 11 
x(102,13) = 11 
x(103,12) = 0 
x(104,2) = 11 
x(105,12) = 11 
x(106,4) = 11 
x(107,1) = 11 
x(108,11) = 11 
x(109,12) = 11 
x(110,15) = 10 
x(111,5) = 11 
x(112,19) = 11 
x(113,4) = 7 
x(114,19) = 6 
x(115,11) = 7 
x(116,11) = 10 
x(117,7) = 8 
x(118,7) = 10 
x(119,7) = 11 
x(120,4) = 10 
x(121,17) = 11 
x(122,2) = 11 
x(123,9) = 5 
x(124,12) = 11 
x(125,2) = 11 
x(126,7) = 11 
x(127,13) = 11 
x(128,1) = 11 
x(129,20) = 9 
x(130,1) = 1 
x(131,13) = 11 
x(132,20) = 6 
x(133,7) = 11 
x(134,14) = 11 
x(135,9) = 11 
x(136,6) = 11 
x(137,7) = 11 
x(138,5) = 11 
x(139,16) = 0 
x(140,11) = 11 
x(141,18) = 6 
x(142,10) = 11 
x(143,20) = 8 
x(144,16) = 11 
x(145,18) = 7 
x(146,6) = 11 
x(147,7) = 2 
x(148,2) = 11 
x(149,17) = 11 
x(150,16) = 11 
x(151,18) = 10 
x(152,10) = 1 
x(153,18) = 11 
x(154,4) = 11 
x(155,6) = 3 
x(156,3) = 8 
x(157,2) = 9 
x(158,3) = 11 
x(159,5) = 10 
x(160,20) = 11 
x(161,20) = 11 
x(162,6) = 11 
x(163,9) = 8 
x(164,7) = 11 
x(165,4) = 11 
x(166,6) = 10 
x(167,1) = 4 
x(168,18) = 11 
x(169,2) = 6 
x(170,14) = 11 
x(171,5) = 10 
x(172,5) = 11 
x(173,12) = 11 
x(174,13) = 9 
x(175,2) = 10 
x(176,7) = 11 
x(177,8) = 10 
x(178,8) = 4 
x(179,13) = 10 
x(180,6) = 2 
x(181,17) = 11 
x(182,8) = 11 
x(183,8) = 0 
x(184,11) = 7 
x(185,13) = 11 
x(186,10) = 8 
x(187,13) = 10 
x(188,2) = 11 
x(189,7) = 8 
x(190,12) = 6 
x(191,19) = 10 
x(192,15) = 7 
x(193,10) = 10 
x(194,7) = 11 
x(195,12) = 11 
x(196,20) = 8 
x(197,13) = 11 
x(198,14) = 5 
x(199,4) = 11 
x(200,17) = 7 
x(201,17) = 10 
x(202,15) = 2 
x(203,15) = 11 
x(204,13) = 10 
x(205,17) = 11 
x(206,14) = 11 
x(207,9) = 11 
x(208,8) = 8 
x(209,9) = 11 
x(210,15) = 11 
x(211,5) = 11 
x(212,20) = 10 
x(213,1) = 11 
x(214,13) = 10 
x(215,2) = 10 
x(216,13) = 11 
x(217,11) = 11 
x(218,20) = 8 
x(219,10) = 11 
x(220,18) = 6 
x(221,10) = 6 
x(222,7) = 11 
x(223,1) = 11 
x(224,7) = 11 
x(225,9) = 11 
x(226,8) = 7 
x(227,3) = 11 
x(228,2) = 4 
x(229,14) = 11 
x(230,17) = 11 
x(231,15) = 11 
x(232,5) = 11 
x(233,20) = 11 
x(234,19) = 11 
x(235,13) = 4 
x(236,14) = 7 
x(237,20) = 11 
x(238,10) = 11 
x(239,5) = 11 
x(240,1) = 11 
x(241,8) = 6 
x(242,10) = 10 
x(243,17) = 10 
x(244,1) = 6 
x(245,13) = 9 
x(246,10) = 11 
x(247,11) = 11 
x(248,13) = 7 
x(249,6) = 11 
x(250,18) = 11 
x(251,15) = 7 
x(252,3) = 11 
x(253,17) = 2 
x(254,4) = 10 
x(255,5) = 2 
x(256,6) = 11 
x(257,12) = 11 
x(258,18) = 5 
x(259,4) = 10 
x(260,3) = 11 
x(261,15) = 11 
x(262,15) = 9 
x(263,8) = 11 
x(264,11) = 11 
x(265,9) = 9 
x(266,15) = 11 
x(267,7) = 11 
x(268,14) = 2 
x(269,8) = 9 
x(270,6) = 11 
x(271,10) = 7 
x(272,16) = 10 
x(273,16) = 11 
x(274,1) = 10 
x(275,6) = 9 
x(276,16) = 2 
x(277,1) = 11 
x(278,19) = 11 
x(279,9) = 11 
x(280,14) = 11 
x(281,10) = 8 
x(282,20) = 9 
x(283,20) = 11 
x(284,11) = 3 
x(285,10) = 11 
x(286,5) = 11 
x(287,6) = 7 
x(288,1) = 11 
x(289,12) = 11 
x(290,3) = 7 
x(291,18) = 11 
x(292,8) = 9 
x(293,1) = 11 
x(294,16) = 11 
x(295,13) = 10 
x(296,14) = 11 
x(297,11) = 11 
x(298,19) = 4 
x(299,19) = 11 
x(300,11) = 11 
x(301,10) = 2 
x(302,14) = 11 
x(303,17) = 11 
x(304,17) = 11 
x(305,4) = 11 
x(306,15) = 11 
x(307,16) = 5 
x(308,14) = 10 
x(309,14) = 7 
x(310,7) = 11 
x(311,11) = 11 
x(312,18) = 10 
x(313,17) = 11 
x(314,17) = 11 
x(315,14) = 11 
x(316,10) = 4 
x(317,1) = 11 
x(318,16) = 11 
x(319,16) = 9 
x(320,17) = 11 
x(321,11) = 11 
x(322,16) = 9 
x(323,17) = 8 
x(324,14) = 10 
x(325,4) = 10 
x(326,6) = 10 
x(327,14) = 11 
x(328,3) = 11 
x(329,14) = 11 
x(330,15) = 11 
x(331,2) = 10 
x(332,7) = 10 
x(333,5) = 11 
x(334,8) = 11 
x(335,7) = 11 
x(336,16) = 4 
x(337,20) = 11 
x(338,7) = 11 
x(339,6) = 11 
x(340,3) = 11 
x(341,8) = 0 
x(342,18) = 11 
x(343,5) = 7 
x(344,11) = 4 
x(345,4) = 11 
x(346,11) = 6 
x(347,9) = 11 
x(348,16) = 11 
x(349,19) = 11 
x(350,12) = 11 
x(351,14) = 6 
x(352,6) = 11 
x(353,3) = 10 
x(354,19) = 5 
x(355,13) = 11 
