x(1,6) = 7 
x(2,5) = 8 
x(3,1) = 6 
x(4,4) = 8 
x(5,8) = 5 
x(6,3) = 2 
x(7,10) = 7 
x(8,9) = 6 
x(9,2) = 10 
x(10,10) = 11 
x(11,9) = 4 
x(12,4) = 10 
x(13,9) = 11 
x(14,10) = 3 
x(15,1) = 5 
x(16,3) = 4 
x(17,9) = 11 
x(18,7) = 4 
x(19,10) = 3 
x(20,7) = 9 
x(21,8) = 8 
x(22,6) = 4 
x(23,8) = 9 
x(24,2) = 0 
x(25,2) = 7 
x(26,1) = 0 
x(27,9) = 9 
x(28,3) = 9 
x(29,1) = 2 
x(30,10) = 9 
x(31,6) = 1 
x(32,10) = 1 
x(33,2) = 10 
x(34,5) = 9 
x(35,6) = 5 
x(36,2) = 8 
x(37,5) = 9 
x(38,1) = 6 
x(39,2) = 9 
x(40,1) = 3 
x(41,1) = 4 
x(42,2) = 6 
x(43,4) = 5 
x(44,8) = 2 
x(45,5) = 5 
x(46,6) = 3 
x(47,5) = 9 
x(48,9) = 6 
x(49,8) = 7 
x(50,9) = 5 
x(51,9) = 5 
x(52,5) = 1 
x(53,1) = 11 
x(54,10) = 4 
x(55,10) = 7 
x(56,9) = 8 
x(57,1) = 11 
x(58,1) = 9 
x(59,2) = 6 
x(60,5) = 7 
x(61,2) = 10 
x(62,9) = 8 
x(63,7) = 4 
x(64,6) = 9 
x(65,6) = 10 
x(66,7) = 2 
x(67,2) = 8 
x(68,8) = 3 
x(69,7) = 7 
x(70,3) = 9 
x(71,10) = 6 
x(72,3) = 9 
x(73,3) = 5 
x(74,3) = 7 
x(75,6) = 8 
x(76,8) = 10 
x(77,6) = 2 
x(78,3) = 3 
x(79,8) = 0 
x(80,2) = 8 
x(81,10) = 8 
x(82,6) = 7 
x(83,6) = 2 
x(84,10) = 10 
x(85,8) = 6 
x(86,3) = 10 
x(87,4) = 10 
x(88,10) = 1 
x(89,9) = 10 
x(90,3) = 9 
x(91,10) = 8 
x(92,9) = 4 
x(93,3) = 4 
x(94,7) = 9 
x(95,9) = 8 
x(96,4) = 7 
x(97,10) = 9 
x(98,3) = 8 
x(99,8) = 11 
x(100,1) = 3 
x(101,5) = 3 
x(102,9) = 9 
x(103,4) = 10 
x(104,3) = 7 
x(105,10) = 9 
x(106,5) = 8 
x(107,2) = 9 
x(108,1) = 0 
x(109,8) = 8 
x(110,6) = 2 
x(111,5) = 11 
x(112,1) = 11 
x(113,7) = 2 
x(114,3) = 5 
x(115,5) = 11 
x(116,4) = 9 
x(117,10) = 2 
x(118,3) = 8 
x(119,2) = 9 
x(120,6) = 0 
x(121,6) = 8 
x(122,6) = 3 
x(123,4) = 6 
x(124,2) = 4 
x(125,9) = 11 
x(126,3) = 5 
x(127,1) = 11 
x(128,5) = 10 
x(129,9) = 0 
x(130,2) = 0 
x(131,3) = 10 
x(132,9) = 2 
x(133,10) = 10 
x(134,2) = 3 
x(135,8) = 6 
x(136,7) = 11 
x(137,1) = 5 
x(138,6) = 10 
x(139,7) = 1 
x(140,2) = 7 
x(141,3) = 3 
x(142,9) = 11 
x(143,7) = 7 
x(144,9) = 11 
x(145,3) = 0 
x(146,4) = 8 
x(147,6) = 11 
x(148,6) = 1 
x(149,6) = 11 
x(150,1) = 9 
x(151,2) = 9 
x(152,8) = 6 
x(153,3) = 3 
x(154,4) = 10 
x(155,5) = 9 
x(156,9) = 9 
x(157,7) = 7 
x(158,6) = 5 
x(159,3) = 11 
x(160,7) = 6 
x(161,7) = 9 
x(162,6) = 5 
x(163,10) = 8 
x(164,4) = 5 
x(165,5) = 10 
x(166,8) = 11 
x(167,7) = 9 
x(168,3) = 6 
x(169,5) = 1 
x(170,4) = 5 
x(171,5) = 2 
x(172,7) = 11 
x(173,4) = 6 
x(174,10) = 5 
x(175,7) = 10 
x(176,2) = 0 
x(177,9) = 11 
x(178,10) = 10 
x(179,4) = 1 
x(180,1) = 7 
x(181,9) = 0 
x(182,9) = 11 
x(183,8) = 11 
x(184,2) = 5 
x(185,5) = 11 
x(186,5) = 9 
x(187,3) = 4 
x(188,9) = 7 
x(189,8) = 11 
x(190,2) = 1 
x(191,10) = 7 
x(192,9) = 1 
x(193,3) = 6 
x(194,6) = 11 
x(195,4) = 6 
x(196,9) = 5 
x(197,6) = 10 
x(198,8) = 2 
x(199,1) = 8 
x(200,5) = 2 
x(201,7) = 10 
x(202,1) = 9 
x(203,6) = 1 
x(204,2) = 8 
x(205,7) = 11 
x(206,4) = 11 
x(207,4) = 9 
x(208,2) = 2 
x(209,7) = 5 
x(210,2) = 11 
x(211,5) = 3 
x(212,7) = 6 
x(213,8) = 7 
x(214,8) = 9 
x(215,8) = 7 
x(216,5) = 4 
x(217,9) = 11 
x(218,8) = 3 
x(219,8) = 7 
x(220,9) = 9 
x(221,9) = 2 
x(222,4) = 0 
x(223,6) = 4 
x(224,8) = 6 
x(225,10) = 3 
x(226,4) = 11 
x(227,6) = 8 
x(228,8) = 9 
x(229,1) = 6 
x(230,9) = 6 
x(231,1) = 4 
x(232,2) = 11 
x(233,10) = 9 
x(234,2) = 5 
x(235,5) = 10 
x(236,8) = 11 
x(237,7) = 7 
x(238,10) = 9 
x(239,5) = 11 
x(240,7) = 8 
x(241,4) = 11 
x(242,6) = 11 
x(243,10) = 11 
x(244,5) = 5 
x(245,1) = 8 
x(246,8) = 10 
x(247,9) = 9 
x(248,2) = 7 
x(249,7) = 3 
x(250,5) = 2 
x(251,6) = 8 
x(252,3) = 10 
x(253,9) = 7 
x(254,4) = 9 
x(255,3) = 9 
x(256,8) = 2 
x(257,6) = 3 
x(258,8) = 9 
x(259,1) = 9 
x(260,2) = 7 
x(261,5) = 1 
x(262,4) = 9 
x(263,6) = 6 
x(264,4) = 3 
x(265,4) = 4 
x(266,7) = 5 
x(267,7) = 9 
x(268,1) = 4 
x(269,2) = 1 
x(270,8) = 5 
x(271,7) = 0 
x(272,10) = 8 
x(273,2) = 0 
x(274,1) = 8 
x(275,6) = 10 
x(276,10) = 2 
x(277,8) = 11 
x(278,9) = 6 
x(279,10) = 8 
x(280,10) = 7 
x(281,1) = 11 
x(282,10) = 9 
x(283,2) = 7 
x(284,9) = 10 
x(285,3) = 9 
x(286,7) = 4 
x(287,9) = 11 
x(288,1) = 4 
x(289,2) = 2 
x(290,10) = 9 
x(291,8) = 5 
x(292,10) = 10 
x(293,2) = 9 
x(294,4) = 5 
x(295,2) = 4 
x(296,8) = 1 
x(297,4) = 6 
x(298,1) = 7 
x(299,9) = 10 
x(300,3) = 10 
x(301,10) = 3 
x(302,9) = 3 
x(303,5) = 11 
x(304,7) = 10 
x(305,10) = 6 
x(306,1) = 11 
x(307,1) = 0 
x(308,10) = 10 
x(309,9) = 5 
x(310,8) = 4 
x(311,8) = 0 
x(312,4) = 11 
x(313,2) = 9 
x(314,7) = 1 
x(315,4) = 9 
x(316,3) = 10 
x(317,9) = 11 
x(318,1) = 11 
x(319,1) = 7 
x(320,6) = 11 
x(321,1) = 6 
x(322,6) = 3 
x(323,7) = 2 
x(324,5) = 4 
x(325,10) = 10 
x(326,9) = 8 
x(327,6) = 8 
x(328,6) = 0 
x(329,9) = 1 
x(330,6) = 10 
x(331,1) = 9 
x(332,3) = 1 
x(333,6) = 6 
x(334,10) = 11 
x(335,7) = 8 
x(336,5) = 7 
x(337,10) = 5 
x(338,7) = 5 
x(339,5) = 3 
x(340,4) = 10 
x(341,6) = 5 
x(342,8) = 0 
x(343,9) = 10 
x(344,1) = 10 
x(345,6) = 3 
x(346,10) = 11 
x(347,10) = 10 
x(348,5) = 10 
x(349,5) = 3 
x(350,6) = 6 
x(351,4) = 9 
x(352,1) = 6 
x(353,7) = 9 
x(354,5) = 3 
x(355,3) = 8 
x(356,5) = 10 
x(357,4) = 6 
x(358,9) = 11 
x(359,4) = 0 
x(360,9) = 5 
x(361,2) = 7 
x(362,1) = 11 
x(363,9) = 10 
x(364,9) = 11 
x(365,6) = 11 
x(366,10) = 5 
x(367,9) = 7 
x(368,2) = 11 
x(369,10) = 11 
x(370,6) = 11 
x(371,3) = 5 
x(372,3) = 11 
x(373,3) = 10 
x(374,10) = 4 
x(375,8) = 6 
x(376,10) = 11 
x(377,2) = 9 
x(378,4) = 4 
x(379,1) = 6 
x(380,8) = 7 
x(381,8) = 4 
x(382,4) = 0 
x(383,1) = 4 
x(384,5) = 3 
x(385,1) = 3 
x(386,8) = 11 
x(387,7) = 6 
x(388,3) = 1 
x(389,10) = 11 
x(390,1) = 1 
x(391,1) = 5 
x(392,4) = 7 
x(393,7) = 9 
x(394,2) = 1 
x(395,10) = 9 
x(396,6) = 4 
x(397,6) = 3 
x(398,3) = 9 
x(399,4) = 10 
x(400,5) = 2 
