x(1,9) = 0 
x(2,6) = 7 
x(3,8) = 9 
x(4,3) = 7 
x(5,6) = 9 
x(6,2) = 10 
x(7,1) = 10 
x(8,6) = 6 
x(9,3) = 2 
x(10,6) = 3 
x(11,6) = 11 
x(12,2) = 4 
x(13,2) = 0 
x(14,7) = 1 
x(15,2) = 8 
x(16,5) = 11 
x(17,8) = 5 
x(18,9) = 10 
x(19,6) = 11 
x(20,3) = 9 
x(21,1) = 5 
x(22,7) = 6 
x(23,7) = 7 
x(24,1) = 9 
x(25,8) = 9 
x(26,9) = 7 
x(27,5) = 5 
x(28,6) = 10 
x(29,5) = 6 
x(30,7) = 11 
x(31,4) = 8 
x(32,5) = 8 
x(33,8) = 10 
x(34,7) = 2 
x(35,10) = 0 
x(36,1) = 10 
x(37,6) = 10 
x(38,6) = 11 
x(39,8) = 7 
x(40,2) = 9 
x(41,9) = 1 
x(42,6) = 8 
x(43,7) = 7 
x(44,7) = 5 
x(45,8) = 9 
x(46,1) = 11 
x(47,9) = 7 
x(48,6) = 5 
x(49,4) = 11 
x(50,3) = 5 
x(51,3) = 7 
x(52,7) = 7 
x(53,8) = 7 
x(54,7) = 11 
x(55,7) = 8 
x(56,4) = 3 
x(57,6) = 11 
x(58,4) = 9 
x(59,4) = 6 
x(60,10) = 8 
x(61,10) = 4 
x(62,2) = 4 
x(63,5) = 5 
x(64,4) = 5 
x(65,10) = 9 
x(66,3) = 7 
x(67,6) = 11 
x(68,5) = 6 
x(69,2) = 6 
x(70,6) = 3 
x(71,5) = 9 
x(72,6) = 6 
x(73,7) = 6 
x(74,6) = 9 
x(75,3) = 5 
x(76,6) = 5 
x(77,9) = 0 
x(78,1) = 1 
x(79,5) = 8 
x(80,1) = 3 
x(81,3) = 11 
x(82,10) = 8 
x(83,2) = 9 
x(84,5) = 10 
x(85,1) = 5 
x(86,10) = 4 
x(87,7) = 3 
x(88,1) = 6 
x(89,7) = 5 
x(90,2) = 8 
x(91,3) = 4 
x(92,1) = 5 
x(93,6) = 7 
x(94,1) = 0 
x(95,5) = 8 
x(96,7) = 4 
x(97,7) = 8 
x(98,5) = 11 
x(99,6) = 3 
x(100,7) = 5 
x(101,4) = 6 
x(102,2) = 11 
x(103,7) = 8 
x(104,5) = 9 
x(105,2) = 9 
x(106,8) = 2 
x(107,4) = 9 
x(108,1) = 1 
x(109,7) = 11 
x(110,7) = 7 
x(111,4) = 7 
x(112,5) = 10 
x(113,5) = 9 
x(114,2) = 9 
x(115,1) = 7 
x(116,9) = 10 
x(117,4) = 4 
x(118,10) = 6 
x(119,7) = 11 
x(120,8) = 5 
x(121,10) = 7 
x(122,10) = 7 
x(123,2) = 9 
x(124,4) = 5 
x(125,6) = 8 
x(126,4) = 8 
x(127,4) = 5 
x(128,1) = 8 
x(129,6) = 11 
x(130,7) = 11 
x(131,5) = 7 
x(132,9) = 4 
x(133,2) = 5 
x(134,6) = 4 
x(135,2) = 8 
x(136,3) = 3 
x(137,8) = 11 
x(138,7) = 4 
x(139,1) = 5 
x(140,6) = 5 
x(141,4) = 11 
x(142,7) = 6 
x(143,6) = 8 
x(144,1) = 7 
x(145,4) = 10 
x(146,3) = 9 
x(147,10) = 4 
x(148,10) = 4 
x(149,5) = 8 
x(150,7) = 10 
x(151,1) = 5 
x(152,1) = 6 
x(153,3) = 2 
x(154,7) = 5 
x(155,1) = 7 
x(156,7) = 6 
x(157,4) = 11 
x(158,7) = 5 
x(159,5) = 11 
x(160,8) = 2 
x(161,8) = 11 
x(162,9) = 10 
x(163,9) = 1 
x(164,5) = 9 
x(165,7) = 0 
x(166,7) = 7 
x(167,10) = 11 
x(168,5) = 6 
x(169,3) = 6 
x(170,6) = 10 
x(171,4) = 3 
x(172,8) = 3 
x(173,6) = 6 
x(174,1) = 9 
x(175,5) = 5 
x(176,5) = 9 
x(177,7) = 3 
x(178,1) = 10 
x(179,10) = 11 
x(180,8) = 6 
x(181,2) = 8 
x(182,7) = 8 
x(183,9) = 0 
x(184,10) = 2 
x(185,1) = 9 
x(186,8) = 5 
x(187,8) = 10 
x(188,8) = 1 
x(189,5) = 9 
x(190,10) = 9 
x(191,8) = 5 
x(192,8) = 8 
x(193,6) = 1 
x(194,8) = 4 
x(195,1) = 5 
x(196,8) = 9 
x(197,5) = 5 
x(198,7) = 1 
x(199,10) = 5 
x(200,9) = 3 
x(201,4) = 7 
x(202,4) = 11 
x(203,3) = 4 
x(204,6) = 11 
x(205,2) = 11 
x(206,9) = 3 
x(207,2) = 7 
x(208,9) = 4 
x(209,5) = 7 
x(210,9) = 6 
x(211,7) = 8 
x(212,4) = 3 
x(213,4) = 7 
x(214,10) = 3 
x(215,2) = 6 
x(216,6) = 3 
x(217,2) = 2 
x(218,6) = 11 
x(219,9) = 11 
x(220,10) = 9 
x(221,6) = 3 
x(222,9) = 1 
x(223,3) = 11 
x(224,5) = 7 
x(225,9) = 1 
x(226,8) = 7 
x(227,9) = 3 
x(228,1) = 5 
x(229,6) = 2 
x(230,5) = 10 
x(231,10) = 6 
x(232,1) = 11 
x(233,4) = 2 
x(234,1) = 3 
x(235,8) = 10 
x(236,3) = 3 
x(237,4) = 5 
x(238,6) = 9 
x(239,2) = 9 
x(240,9) = 9 
x(241,3) = 4 
x(242,5) = 7 
x(243,3) = 7 
x(244,5) = 5 
x(245,2) = 5 
x(246,7) = 10 
x(247,8) = 3 
x(248,8) = 11 
x(249,4) = 3 
x(250,5) = 1 
x(251,7) = 10 
x(252,1) = 8 
x(253,6) = 3 
x(254,1) = 10 
x(255,2) = 9 
x(256,6) = 5 
x(257,8) = 9 
x(258,2) = 3 
x(259,2) = 6 
x(260,3) = 0 
x(261,3) = 10 
x(262,10) = 8 
x(263,4) = 8 
x(264,9) = 10 
x(265,3) = 5 
x(266,3) = 3 
x(267,4) = 8 
x(268,7) = 3 
x(269,1) = 3 
x(270,10) = 4 
x(271,8) = 5 
x(272,1) = 5 
x(273,4) = 6 
x(274,9) = 7 
x(275,4) = 9 
x(276,4) = 7 
x(277,3) = 8 
x(278,5) = 10 
x(279,3) = 8 
x(280,3) = 1 
x(281,9) = 9 
x(282,6) = 5 
x(283,9) = 3 
x(284,10) = 10 
x(285,10) = 2 
x(286,4) = 9 
x(287,5) = 2 
x(288,8) = 7 
x(289,3) = 4 
x(290,3) = 6 
x(291,9) = 2 
x(292,3) = 10 
x(293,6) = 8 
x(294,5) = 5 
x(295,8) = 9 
x(296,2) = 11 
x(297,10) = 7 
x(298,7) = 9 
x(299,6) = 4 
x(300,8) = 1 
x(301,3) = 6 
x(302,8) = 10 
x(303,9) = 3 
x(304,2) = 5 
x(305,1) = 11 
x(306,4) = 8 
x(307,3) = 1 
x(308,2) = 10 
x(309,10) = 7 
x(310,4) = 3 
x(311,8) = 10 
x(312,6) = 3 
x(313,7) = 6 
x(314,8) = 5 
x(315,5) = 5 
x(316,5) = 10 
x(317,1) = 9 
x(318,10) = 6 
x(319,8) = 8 
x(320,4) = 8 
x(321,7) = 4 
x(322,10) = 10 
x(323,5) = 3 
x(324,8) = 11 
x(325,1) = 8 
x(326,6) = 7 
x(327,5) = 10 
x(328,1) = 8 
x(329,8) = 9 
x(330,3) = 8 
x(331,5) = 6 
x(332,10) = 1 
x(333,10) = 4 
x(334,2) = 5 
x(335,8) = 6 
x(336,3) = 11 
x(337,5) = 3 
x(338,8) = 7 
x(339,3) = 3 
x(340,10) = 7 
x(341,10) = 3 
x(342,4) = 8 
